Raioane,Grupe de varsta,Ani,Medii,Sexe,value
Total pe tara,0-4,2018,Rural,Masculin,57809
Total pe tara,0-4,2018,Rural,Feminin,55042
Total pe tara,0-4,2019,Total,Total,178449
Total pe tara,0-4,2019,Total,Masculin,91939
Total pe tara,0-4,2019,Total,Feminin,86510
Total pe tara,0-4,2019,Urban,Total,71039
Total pe tara,0-4,2019,Urban,Masculin,36834
Total pe tara,0-4,2019,Urban,Feminin,34205
Total pe tara,0-4,2019,Rural,Total,107410
Total pe tara,0-4,2019,Rural,Masculin,55105
Total pe tara,0-4,2019,Rural,Feminin,52305
Total pe tara,0-4,2020,Total,Total,167174
Total pe tara,0-4,2020,Total,Masculin,86193
Total pe tara,0-4,2020,Total,Feminin,80981
Total pe tara,0-4,2020,Urban,Total,67949
Total pe tara,0-4,2020,Urban,Masculin,35335
Total pe tara,0-4,2020,Urban,Feminin,32614
Total pe tara,0-4,2020,Rural,Total,99225
Total pe tara,0-4,2020,Rural,Masculin,50858
Total pe tara,0-4,2020,Rural,Feminin,48367
Total pe tara,0-4,2021,Total,Total,157782
Total pe tara,0-4,2021,Total,Masculin,81521
Total pe tara,0-4,2021,Total,Feminin,76261
Total pe tara,0-4,2021,Urban,Total,65586
Total pe tara,0-4,2021,Urban,Masculin,34128
Total pe tara,0-4,2021,Urban,Feminin,31458
Total pe tara,0-4,2021,Rural,Total,92196
Total pe tara,0-4,2021,Rural,Masculin,47393
Total pe tara,0-4,2021,Rural,Feminin,44803
Total pe tara,0-4,2022,Total,Total,145402
Total pe tara,0-4,2022,Total,Masculin,75191
Total pe tara,0-4,2022,Total,Feminin,70211
Total pe tara,0-4,2022,Urban,Total,61807
Total pe tara,0-4,2022,Urban,Masculin,32179
Total pe tara,0-4,2022,Urban,Feminin,29628
Total pe tara,0-4,2022,Rural,Total,83595
Total pe tara,0-4,2022,Rural,Masculin,43012
Total pe tara,0-4,2022,Rural,Feminin,40583
Total pe tara,0-4,2023,Total,Total,132961
Total pe tara,0-4,2023,Total,Masculin,68711
Total pe tara,0-4,2023,Total,Feminin,64250
Total pe tara,0-4,2023,Urban,Total,57477
Total pe tara,0-4,2023,Urban,Masculin,29876
Total pe tara,0-4,2023,Urban,Feminin,27601
Total pe tara,0-4,2023,Rural,Total,75484
Total pe tara,0-4,2023,Rural,Masculin,38835
Total pe tara,0-4,2023,Rural,Feminin,36649
Total pe tara,0-4,2024,Total,Total,145621
Total pe tara,0-4,2024,Total,Masculin,74842
Total pe tara,0-4,2024,Total,Feminin,70779
Total pe tara,0-4,2024,Urban,Total,71518
Total pe tara,0-4,2024,Urban,Masculin,36921
Total pe tara,0-4,2024,Urban,Feminin,34597
Total pe tara,0-4,2024,Rural,Total,74103
Total pe tara,0-4,2024,Rural,Masculin,37921
Total pe tara,0-4,2024,Rural,Feminin,36182
Total pe tara,0-4,2025,Total,Total,136430
Total pe tara,0-4,2025,Total,Masculin,70239
Total pe tara,0-4,2025,Total,Feminin,66191
Total pe tara,0-4,2025,Urban,Total,68423
Total pe tara,0-4,2025,Urban,Masculin,35253
Total pe tara,0-4,2025,Urban,Feminin,33170
Total pe tara,0-4,2025,Rural,Total,68007
Total pe tara,0-4,2025,Rural,Masculin,34986
Total pe tara,0-4,2025,Rural,Feminin,33021
Total pe tara,0-4,2026,Total,Total,134674
Total pe tara,0-4,2026,Total,Masculin,69169
Total pe tara,0-4,2026,Total,Feminin,65505
Total pe tara,0-4,2026,Urban,Total,67641
Total pe tara,0-4,2026,Urban,Masculin,34700
Total pe tara,0-4,2026,Urban,Feminin,32941
Total pe tara,0-4,2026,Rural,Total,67033
Total pe tara,0-4,2026,Rural,Masculin,34469
Total pe tara,0-4,2026,Rural,Feminin,32564
Total pe tara,5-9,2014,Total,Total,169377
Total pe tara,5-9,2014,Total,Masculin,86939
Total pe tara,5-9,2014,Total,Feminin,82438
Total pe tara,5-9,2014,Urban,Total,62373
Total pe tara,5-9,2014,Urban,Masculin,32034
Total pe tara,5-9,2014,Urban,Feminin,30339
Total pe tara,5-9,2014,Rural,Total,107004
Total pe tara,5-9,2014,Rural,Masculin,54905
Total pe tara,5-9,2014,Rural,Feminin,52099
Total pe tara,5-9,2015,Total,Total,171372
Total pe tara,5-9,2015,Total,Masculin,88141
Total pe tara,5-9,2015,Total,Feminin,83231
Total pe tara,5-9,2015,Urban,Total,64745
Total pe tara,5-9,2015,Urban,Masculin,33319
Total pe tara,5-9,2015,Urban,Feminin,31426
Total pe tara,5-9,2015,Rural,Total,106627
Total pe tara,5-9,2015,Rural,Masculin,54822
Total pe tara,5-9,2015,Rural,Feminin,51805
Total pe tara,5-9,2016,Total,Total,172788
Total pe tara,5-9,2016,Total,Masculin,88787
Total pe tara,5-9,2016,Total,Feminin,84001
Total pe tara,5-9,2016,Urban,Total,66829
Total pe tara,5-9,2016,Urban,Masculin,34383
Total pe tara,5-9,2016,Urban,Feminin,32446
Total pe tara,5-9,2016,Rural,Total,105959
Total pe tara,5-9,2016,Rural,Masculin,54404
Total pe tara,5-9,2016,Rural,Feminin,51555
Total pe tara,5-9,2017,Total,Total,172436
Total pe tara,5-9,2017,Total,Masculin,88434
