domain,cause,sex,age_group,indicator,year,value
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2018,172.9
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2018,24.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2018,63.9
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2019,64.7
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2019,169.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2019,24.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2019,63.6
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2020,39.9
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2020,135.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2020,15.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2020,51.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2021,47.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2021,146.1
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2021,18.1
