"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
Total IPC,2022,August,177.76
Total IPC,2022,Septembrie,180.31
Total IPC,2022,Octombrie,185.03
Total IPC,2022,Noiembrie,186.93
Total IPC,2022,Decembrie,188.34
Total IPC,2023,Ianuarie,189.19
Total IPC,2023,Februarie,190.98
Total IPC,2023,Martie,192.53
Total IPC,2023,Aprilie,196.78
Total IPC,2023,Mai,197.67
Total IPC,2023,Iunie,196.63
Total IPC,2023,Iulie,195.14
Total IPC,2023,August,194.99
Total IPC,2023,Septembrie,195.88
Total IPC,2023,Octombrie,196.77
Total IPC,2023,Noiembrie,197.12
Total IPC,2023,Decembrie,196.25
Total IPC,2024,Ianuarie,197.80
Total IPC,2024,Februarie,199.21
Total IPC,2024,Martie,200.13
Total IPC,2024,Aprilie,203.70
Total IPC,2024,Mai,204.15
Total IPC,2024,Iunie,204.03
Total IPC,2024,Iulie,204.51
Total IPC,2024,August,204.93
Total IPC,2024,Septembrie,206.06
Total IPC,2024,Octombrie,207.14
Total IPC,2024,Noiembrie,207.83
Total IPC,2024,Decembrie,209.93
Total IPC,2025,Ianuarie,215.84
Total IPC,2025,Februarie,216.37
Total IPC,2025,Martie,217.64
Total IPC,2025,Aprilie,219.49
Total IPC,2025,Mai,220.31
Total IPC,2025,Iunie,220.69
Total IPC,2025,Iulie,220.73
Total IPC,2025,August,219.93
Total IPC,2025,Septembrie,220.19
Total IPC,2025,Octombrie,221.61
Total IPC,2025,Noiembrie,222.34
Total IPC,2025,Decembrie,224.29
Total IPC,2026,Ianuarie,226.30
Total IPC,2026,Februarie,227.32
Total IPC,2026,Martie,230.29
Total IPC,2026,Aprilie,234.35
Total IPC,2026,Mai,235.20
Total IPC,2026,Iunie,..
Total IPC,2026,Iulie,..
Total IPC,2026,August,..
Total IPC,2026,Septembrie,..
Total IPC,2026,Octombrie,..
Total IPC,2026,Noiembrie,..
Total IPC,2026,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1994,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1994,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1994,Martie,..
01 Produse alimentare si bauturi nealcoolice,1994,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,1994,Mai,..
01 Produse alimentare si bauturi nealcoolice,1994,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1994,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1994,August,..
01 Produse alimentare si bauturi nealcoolice,1994,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1994,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1994,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1994,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1995,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1995,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1995,Martie,..
01 Produse alimentare si bauturi nealcoolice,1995,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,1995,Mai,..
01 Produse alimentare si bauturi nealcoolice,1995,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1995,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1995,August,..
01 Produse alimentare si bauturi nealcoolice,1995,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1995,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1995,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1995,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1996,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1996,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1996,Martie,..
01 Produse alimentare si bauturi nealcoolice,1996,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,1996,Mai,..
01 Produse alimentare si bauturi nealcoolice,1996,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1996,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1996,August,..
01 Produse alimentare si bauturi nealcoolice,1996,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1996,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1996,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1996,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1997,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1997,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1997,Martie,..
01 Produse alimentare si bauturi nealcoolice,1997,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,1997,Mai,..
01 Produse alimentare si bauturi nealcoolice,1997,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1997,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1997,August,..
01 Produse alimentare si bauturi nealcoolice,1997,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1997,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1997,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1997,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1998,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1998,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1998,Martie,..
01 Produse alimentare si bauturi nealcoolice,1998,Aprilie,..
