"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2003,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2004,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2005,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2006,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2007,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2008,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2009,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2010,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2011,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2012,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2013,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Ianuarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Februarie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Martie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Aprilie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Mai,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2014,Decembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Ianuarie,90.30
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Februarie,97.11
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Martie,97.86
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Aprilie,98.65
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Mai,99.17
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Iunie,99.54
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Iulie,100.26
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,August,101.24
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Septembrie,102.34
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Octombrie,103.57
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Noiembrie,104.63
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2015,Decembrie,105.34
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Ianuarie,106.01
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Februarie,106.36
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Martie,106.90
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Aprilie,107.04
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Mai,107.40
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Iunie,107.85
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Iulie,107.97
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,August,108.00
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Septembrie,108.23
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Octombrie,108.67
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Noiembrie,109.05
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2016,Decembrie,109.44
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Ianuarie,109.67
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Februarie,110.25
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Martie,110.66
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Aprilie,111.10
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Mai,111.19
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Iunie,111.41
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Iulie,111.44
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,August,111.60
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Septembrie,111.78
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Octombrie,112.11
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Noiembrie,112.71
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2017,Decembrie,113.61
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Ianuarie,113.75
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Februarie,113.69
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Martie,113.80
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Aprilie,113.61
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Mai,113.64
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Iunie,113.71
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Iulie,113.61
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,August,113.65
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Septembrie,113.96
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Octombrie,114.13
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Noiembrie,114.20
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2018,Decembrie,114.26
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Ianuarie,114.72
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Februarie,115.07
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Martie,116.32
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Aprilie,116.72
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Mai,117.11
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Iunie,117.64
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Iulie,118.09
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,August,118.32
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Septembrie,118.87
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Octombrie,119.94
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Noiembrie,120.37
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2019,Decembrie,121.08
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Ianuarie,121.18
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Februarie,121.09
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Martie,121.24
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Aprilie,121.19
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Mai,121.48
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Iunie,121.79
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Iulie,122.19
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,August,122.01
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Septembrie,121.79
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Octombrie,121.66
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Noiembrie,121.55
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2020,Decembrie,121.58
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Ianuarie,121.71
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Februarie,121.83
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Martie,122.32
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Aprilie,122.68
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Mai,122.98
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Iunie,123.73
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Iulie,125.10
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,August,126.61
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Septembrie,128.92
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Octombrie,129.92
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Noiembrie,131.99
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2021,Decembrie,134.03
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Ianuarie,135.91
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Februarie,138.03
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Martie,142.95
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Aprilie,145.20
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Mai,147.56
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Iunie,148.97
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Iulie,151.10
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,August,153.08
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Septembrie,156.13
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Octombrie,158.08
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Noiembrie,159.52
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2022,Decembrie,160.49
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Ianuarie,161.03
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Februarie,162.34
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Martie,163.51
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Aprilie,164.14
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Mai,164.88
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Iunie,165.92
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Iulie,166.86
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,August,167.12
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Septembrie,167.51
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Octombrie,168.10
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Noiembrie,169.38
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2023,Decembrie,170.20
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Ianuarie,170.73
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Februarie,171.60
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Martie,172.47
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Aprilie,173.61
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Mai,174.60
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Iunie,175.40
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Iulie,175.64
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,August,175.90
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Septembrie,176.14
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Octombrie,176.75
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Noiembrie,177.69
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2024,Decembrie,178.04
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Ianuarie,178.64
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Februarie,179.36
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Martie,179.71
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Aprilie,180.08
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Mai,180.55
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Iunie,181.24
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Iulie,181.64
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,August,181.76
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Septembrie,182.35
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Octombrie,183.30
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Noiembrie,183.80
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2025,Decembrie,183.99
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Ianuarie,184.62
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Februarie,184.74
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Martie,185.28
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Aprilie,185.87
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Mai,186.77
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Iunie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Iulie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,August,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Septembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Octombrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Noiembrie,..
"05 Articole de mobilier, echipamente de uz casnic si intretinerea curenta a locuintei",2026,Decembrie,..
06 Sanatate,1994,Ianuarie,..
06 Sanatate,1994,Februarie,..
06 Sanatate,1994,Martie,..
06 Sanatate,1994,Aprilie,..
06 Sanatate,1994,Mai,..
06 Sanatate,1994,Iunie,..
06 Sanatate,1994,Iulie,..
06 Sanatate,1994,August,..
06 Sanatate,1994,Septembrie,..
06 Sanatate,1994,Octombrie,..
06 Sanatate,1994,Noiembrie,..
06 Sanatate,1994,Decembrie,..
06 Sanatate,1995,Ianuarie,..
06 Sanatate,1995,Februarie,..
06 Sanatate,1995,Martie,..
06 Sanatate,1995,Aprilie,..
06 Sanatate,1995,Mai,..
